symbol,date,price,MA(5),Trend,MA(50),Series Without Trend,mes,Estacionidad,Residual,,,
CAURN,1/1/1976,10.5,,,,,,,,,,
CAURN,2/1/1976,10.1,,,,,,,,,,
CAURN,3/1/1976,9.4,9.32,,,,,,,,1,0.491651206
CAURN,4/1/1976,8.8,9,,,,,,,,2,0.315955473
CAURN,5/1/1976,7.8,8.88,,,,,,,,3,0.179962894
CAURN,6/1/1976,8.9,8.82,9.209090909,,-0.309090909,6,0.094727273,-0.403818182,,4,-0.09109462
CAURN,7/1/1976,9.5,8.84,9.081818182,,0.418181818,7,0.408436364,0.009745455,,5,-0.334471243
CAURN,8/1/1976,9.1,9.06,9.072727273,,0.027272727,8,0.079962894,-0.052690167,,6,0.094727273
CAURN,9/1/1976,8.9,9.16,9.118181818,,-0.218181818,9,-0.251205937,0.033024119,,7,0.408436364
CAURN,10/1/1976,8.9,9.08,9.163636364,,-0.263636364,10,-0.332096475,0.068460111,,8,0.079962894
CAURN,11/1/1976,9.4,9.26,9.227272727,,0.172727273,11,-0.246382189,0.419109462,,9,-0.251205937
CAURN,12/1/1976,9.1,9.46,9.109090909,,-0.009090909,12,-0.318923933,0.309833024,,10,-0.332096475
CAURN,1/1/1977,10,9.54,9.027272727,,0.972727273,1,0.491651206,0.481076067,,11,-0.246382189
CAURN,2/1/1977,9.9,9.36,8.981818182,,0.918181818,2,0.315955473,0.602226345,,12,-0.318923933
CAURN,3/1/1977,9.3,9.06,8.918181818,,0.381818182,3,0.179962894,0.201855288,,,
CAURN,4/1/1977,8.5,8.78,8.809090909,,-0.309090909,4,-0.09109462,-0.217996289,,,
CAURN,5/1/1977,7.6,8.52,8.627272727,,-1.027272727,5,-0.334471243,-0.692801484,,,
CAURN,6/1/1977,8.6,8.3,8.509090909,,0.090909091,6,0.094727273,-0.003818182,,,
CAURN,7/1/1977,8.6,8.14,8.245454545,,0.354545455,7,0.408436364,-0.053890909,,,
CAURN,8/1/1977,8.2,8.1,8.090909091,,0.109090909,8,0.079962894,0.029128015,,,
CAURN,9/1/1977,7.7,7.94,7.981818182,,-0.281818182,9,-0.251205937,-0.030612245,,,
CAURN,10/1/1977,7.4,7.64,7.936363636,,-0.536363636,10,-0.332096475,-0.204267161,,,
CAURN,11/1/1977,7.8,7.64,7.909090909,,-0.109090909,11,-0.246382189,0.13729128,,,
CAURN,12/1/1977,7.1,7.72,7.736363636,,-0.636363636,12,-0.318923933,-0.317439703,,,
CAURN,1/1/1978,8.2,7.84,7.6,7.678431373,0.6,1,0.491651206,0.108348794,,,
CAURN,2/1/1978,8.1,7.74,7.563636364,7.603921569,0.536363636,2,0.315955473,0.220408163,,,
CAURN,3/1/1978,8,7.66,7.490909091,7.537254902,0.509090909,3,0.179962894,0.329128015,,,
CAURN,4/1/1978,7.3,7.44,7.418181818,7.494117647,-0.118181818,4,-0.09109462,-0.027087199,,,
CAURN,5/1/1978,6.7,7.38,7.272727273,7.470588235,-0.572727273,5,-0.334471243,-0.23825603,,,
CAURN,6/1/1978,7.1,7.16,7.218181818,7.460784314,-0.118181818,6,0.094727273,-0.212909091,,,
CAURN,7/1/1978,7.8,7.02,7.054545455,7.419607843,0.745454545,7,0.408436364,0.337018182,,,
CAURN,8/1/1978,6.9,6.92,6.972727273,7.366666667,-0.072727273,8,0.079962894,-0.152690167,,,
CAURN,9/1/1978,6.6,6.8,6.881818182,7.325490196,-0.281818182,9,-0.251205937,-0.030612245,,,
CAURN,10/1/1978,6.2,6.52,6.827272727,7.278431373,-0.627272727,10,-0.332096475,-0.295176252,,,
CAURN,11/1/1978,6.5,6.58,6.772727273,7.258823529,-0.272727273,11,-0.246382189,-0.026345083,,,
CAURN,12/1/1978,6.4,6.66,6.627272727,7.22745098,-0.227272727,12,-0.318923933,0.091651206,,,
CAURN,1/1/1979,7.2,6.76,6.472727273,7.194117647,0.727272727,1,0.491651206,0.235621521,,,
CAURN,2/1/1979,7,6.68,6.427272727,7.133333333,0.572727273,2,0.315955473,0.2567718,,,
CAURN,3/1/1979,6.7,6.5,6.4,7.068627451,0.3,3,0.179962894,0.120037106,,,
CAURN,4/1/1979,6.1,6.28,6.372727273,7.025490196,-0.272727273,4,-0.09109462,-0.181632653,,,
CAURN,5/1/1979,5.5,6.16,6.318181818,7.001960784,-0.818181818,5,-0.334471243,-0.483710575,,,
CAURN,6/1/1979,6.1,6.08,6.272727273,6.992156863,-0.172727273,6,0.094727273,-0.267454545,,,
CAURN,7/1/1979,6.4,6.04,6.136363636,6.962745098,0.263636364,7,0.408436364,-0.1448,,,
CAURN,8/1/1979,6.3,6.12,6.118181818,6.941176471,0.181818182,8,0.079962894,0.101855288,,,
CAURN,9/1/1979,5.9,6.08,6.118181818,6.939215686,-0.218181818,9,-0.251205937,0.033024119,,,
CAURN,10/1/1979,5.9,5.94,6.154545455,6.950980392,-0.254545455,10,-0.332096475,0.07755102,,,
CAURN,11/1/1979,5.9,6.04,6.263636364,6.992156863,-0.363636364,11,-0.246382189,-0.117254174,,,
CAURN,12/1/1979,5.7,6.2,6.318181818,7.029411765,-0.618181818,12,-0.318923933,-0.299257885,,,
CAURN,1/1/1980,6.8,6.32,6.390909091,7.080392157,0.409090909,1,0.491651206,-0.082560297,,,
CAURN,2/1/1980,6.7,6.48,6.509090909,7.107843137,0.190909091,2,0.315955473,-0.125046382,,,
CAURN,3/1/1980,6.5,6.68,6.636363636,7.129411765,-0.136363636,3,0.179962894,-0.316326531,,,
CAURN,4/1/1980,6.7,6.76,6.718181818,7.166666667,-0.018181818,4,-0.09109462,0.072912801,,,
CAURN,5/1/1980,6.7,6.94,6.8,7.231372549,-0.1,5,-0.334471243,0.234471243,,,
CAURN,6/1/1980,7.2,7.1,6.918181818,7.298039216,0.281818182,6,0.094727273,0.187090909,,,
CAURN,7/1/1980,7.6,7.12,6.890909091,7.356862745,0.709090909,7,0.408436364,0.300654545,,,
CAURN,8/1/1980,7.3,7.14,7,7.407843137,0.3,8,0.079962894,0.220037106,,,
CAURN,9/1/1980,6.8,7.1,7.118181818,7.488235294,-0.318181818,9,-0.251205937,-0.066975881,,,
CAURN,10/1/1980,6.8,6.88,7.181818182,7.574509804,-0.381818182,10,-0.332096475,-0.049721707,,,
CAURN,11/1/1980,7,7,7.2,7.684313725,-0.2,11,-0.246382189,0.046382189,,,
CAURN,12/1/1980,6.5,7.2,7.145454545,7.78627451,-0.645454545,12,-0.318923933,-0.326530612,,,
CAURN,1/1/1981,7.9,7.32,7.1,7.878431373,0.8,1,0.491651206,0.308348794,,,
CAURN,2/1/1981,7.8,7.3,7.1,7.941176471,0.7,2,0.315955473,0.384044527,,,
CAURN,3/1/1981,7.4,7.32,7.127272727,7.998039216,0.272727273,3,0.179962894,0.092764378,,,
CAURN,4/1/1981,6.9,7.16,7.154545455,8.066666667,-0.254545455,4,-0.09109462,-0.163450835,,,
CAURN,5/1/1981,6.6,7.06,7.2,8.139215686,-0.6,5,-0.334471243,-0.265528757,,,
CAURN,6/1/1981,7.1,7,7.345454545,8.215686275,-0.245454545,6,0.094727273,-0.340181818,,,
CAURN,7/1/1981,7.3,7.04,7.381818182,8.268627451,-0.081818182,7,0.408436364,-0.490254545,,,
CAURN,8/1/1981,7.1,7.22,7.536363636,8.309803922,-0.436363636,8,0.079962894,-0.516326531,,,
CAURN,9/1/1981,7.1,7.42,7.745454545,8.350980392,-0.645454545,9,-0.251205937,-0.394248609,,,
CAURN,10/1/1981,7.5,7.62,8,8.396078431,-0.5,10,-0.332096475,-0.167903525,,,
CAURN,11/1/1981,8.1,8.1,8.272727273,8.454901961,-0.172727273,11,-0.246382189,0.073654917,,,
CAURN,12/1/1981,8.3,8.62,8.463636364,8.509803922,-0.163636364,12,-0.318923933,0.15528757,,,
CAURN,1/1/1982,9.5,9.06,8.7,8.562745098,0.8,1,0.491651206,0.308348794,,,
CAURN,2/1/1982,9.7,9.36,9.018181818,8.584313725,0.681818182,2,0.315955473,0.365862709,,,
CAURN,3/1/1982,9.7,9.54,9.290909091,8.596078431,0.409090909,3,0.179962894,0.229128015,,,
CAURN,4/1/1982,9.6,9.62,9.527272727,8.615686275,0.072727273,4,-0.09109462,0.163821892,,,
CAURN,5/1/1982,9.2,9.8,9.736363636,8.641176471,-0.536363636,5,-0.334471243,-0.201892393,,,
CAURN,6/1/1982,9.9,9.88,9.981818182,8.658823529,-0.081818182,6,0.094727273,-0.176545455,,,
CAURN,7/1/1982,10.6,9.98,10.11818182,8.660784314,0.481818182,7,0.408436364,0.073381818,,,
CAURN,8/1/1982,10.1,10.22,10.30909091,8.652941176,-0.209090909,8,0.079962894,-0.289053803,,,
CAURN,9/1/1982,10.1,10.44,10.49090909,8.650980392,-0.390909091,9,-0.251205937,-0.139703154,,,
CAURN,10/1/1982,10.4,10.52,10.62727273,8.656862745,-0.227272727,10,-0.332096475,0.104823748,,,
CAURN,11/1/1982,11,10.86,10.73636364,8.682352941,0.263636364,11,-0.246382189,0.510018553,,,
CAURN,12/1/1982,11,11.18,10.73636364,8.698039216,0.263636364,12,-0.318923933,0.582560297,,,
CAURN,1/1/1983,11.8,11.32,10.7,8.717647059,1.1,1,0.491651206,0.608348794,,,
CAURN,2/1/1983,11.7,11.2,10.67272727,8.703921569,1.027272727,2,0.315955473,0.711317254,,,
CAURN,3/1/1983,11.1,10.98,10.60909091,8.684313725,0.490909091,3,0.179962894,0.310946197,,,
CAURN,4/1/1983,10.4,10.66,10.46363636,8.682352941,-0.063636364,4,-0.09109462,0.027458256,,,
CAURN,5/1/1983,9.9,10.28,10.23636364,8.696078431,-0.336363636,5,-0.334471243,-0.001892393,,,
CAURN,6/1/1983,10.2,9.94,10,8.703921569,0.2,6,0.094727273,0.105272727,,,
CAURN,7/1/1983,9.8,9.62,9.672727273,8.7,0.127272727,7,0.408436364,-0.281163636,,,
CAURN,8/1/1983,9.4,9.34,9.418181818,8.690196078,-0.018181818,8,0.079962894,-0.098144712,,,
CAURN,9/1/1983,8.8,8.98,9.2,8.682352941,-0.4,9,-0.251205937,-0.148794063,,,
CAURN,10/1/1983,8.5,8.66,9.018181818,8.670588235,-0.518181818,10,-0.332096475,-0.186085343,,,
CAURN,11/1/1983,8.4,8.56,8.836363636,8.662745098,-0.436363636,11,-0.246382189,-0.189981447,,,
CAURN,12/1/1983,8.2,8.54,8.572727273,8.652941176,-0.372727273,12,-0.318923933,-0.05380334,,,
CAURN,1/1/1984,8.9,8.52,8.363636364,8.633333333,0.536363636,1,0.491651206,0.04471243,,,
CAURN,2/1/1984,8.7,8.42,8.236363636,8.580392157,0.463636364,2,0.315955473,0.147680891,,,
CAURN,3/1/1984,8.4,8.24,8.127272727,8.517647059,0.272727273,3,0.179962894,0.092764378,,,
CAURN,4/1/1984,7.9,7.96,8.018181818,8.460784314,-0.118181818,4,-0.09109462,-0.027087199,,,
CAURN,5/1/1984,7.3,7.82,7.909090909,8.411764706,-0.609090909,5,-0.334471243,-0.274619666,,,
CAURN,6/1/1984,7.5,7.66,7.818181818,8.358823529,-0.318181818,6,0.094727273,-0.412909091,,,
CAURN,7/1/1984,8,7.54,7.654545455,8.292156863,0.345454545,7,0.408436364,-0.062981818,,,
CAURN,8/1/1984,7.6,7.52,7.6,8.209803922,0,8,0.079962894,-0.079962894,,,
CAURN,9/1/1984,7.3,7.46,7.545454545,8.139215686,-0.245454545,9,-0.251205937,0.005751391,,,
CAURN,10/1/1984,7.2,7.28,7.509090909,8.060784314,-0.309090909,10,-0.332096475,0.023005566,,,
CAURN,11/1/1984,7.2,7.38,7.5,7.994117647,-0.3,11,-0.246382189,-0.053617811,,,
CAURN,12/1/1984,7.1,7.48,7.436363636,7.91372549,-0.336363636,12,-0.318923933,-0.017439703,,,
CAURN,1/1/1985,8.1,7.54,7.372727273,7.82745098,0.727272727,1,0.491651206,0.235621521,,,
CAURN,2/1/1985,7.8,7.54,7.372727273,7.711764706,0.427272727,2,0.315955473,0.111317254,,,
CAURN,3/1/1985,7.5,7.48,7.345454545,7.592156863,0.154545455,3,0.179962894,-0.02541744,,,
CAURN,4/1/1985,7.2,7.32,7.318181818,7.484313725,-0.118181818,4,-0.09109462,-0.027087199,,,
CAURN,5/1/1985,6.8,7.28,7.281818182,7.396078431,-0.481818182,5,-0.334471243,-0.147346939,,,
CAURN,6/1/1985,7.3,7.18,7.245454545,7.309803922,0.054545455,6,0.094727273,-0.040181818,,,
CAURN,7/1/1985,7.6,7.12,7.1,7.215686275,0.5,7,0.408436364,0.091563636,,,
CAURN,8/1/1985,7,7.12,7.036363636,7.129411765,-0.036363636,8,0.079962894,-0.116326531,,,
CAURN,9/1/1985,6.9,7,7.045454545,7.050980392,-0.145454545,9,-0.251205937,0.105751391,,,
CAURN,10/1/1985,6.8,6.78,7.054545455,6.976470588,-0.254545455,10,-0.332096475,0.07755102,,,
CAURN,11/1/1985,6.7,6.8,7.054545455,6.925490196,-0.354545455,11,-0.246382189,-0.108163265,,,
CAURN,12/1/1985,6.5,6.94,6.981818182,6.874509804,-0.481818182,12,-0.318923933,-0.162894249,,,
CAURN,1/1/1986,7.1,7.04,6.909090909,6.823529412,0.190909091,1,0.491651206,-0.300742115,,,
CAURN,2/1/1986,7.6,7.06,6.918181818,6.749019608,0.681818182,2,0.315955473,0.365862709,,,
CAURN,3/1/1986,7.3,7.06,6.881818182,6.678431373,0.418181818,3,0.179962894,0.238218924,,,
CAURN,4/1/1986,6.8,7,6.854545455,6.615686275,-0.054545455,4,-0.09109462,0.036549165,,,
CAURN,5/1/1986,6.5,6.9,6.827272727,6.570588235,-0.327272727,5,-0.334471243,0.007198516,,,
CAURN,6/1/1986,6.8,6.74,6.827272727,6.531372549,-0.027272727,6,0.094727273,-0.122,,,
CAURN,7/1/1986,7.1,6.68,6.736363636,6.482352941,0.363636364,7,0.408436364,-0.0448,,,
CAURN,8/1/1986,6.5,6.66,6.681818182,6.421568627,-0.181818182,8,0.079962894,-0.261781076,,,
CAURN,9/1/1986,6.5,6.6,6.645454545,6.37254902,-0.145454545,9,-0.251205937,0.105751391,,,
CAURN,10/1/1986,6.4,6.4,6.627272727,6.323529412,-0.227272727,10,-0.332096475,0.104823748,,,
CAURN,11/1/1986,6.5,6.5,6.572727273,6.294117647,-0.072727273,11,-0.246382189,0.173654917,,,
CAURN,12/1/1986,6.1,6.58,6.463636364,6.258823529,-0.363636364,12,-0.318923933,-0.04471243,,,
CAURN,1/1/1987,7,6.62,6.327272727,6.219607843,0.672727273,1,0.491651206,0.181076067,,,
CAURN,2/1/1987,6.9,6.5,6.272727273,6.158823529,0.627272727,2,0.315955473,0.311317254,,,
CAURN,3/1/1987,6.6,6.4,6.181818182,6.1,0.418181818,3,0.179962894,0.238218924,,,
CAURN,4/1/1987,5.9,6.12,6.090909091,6.054901961,-0.190909091,4,-0.09109462,-0.099814471,,,
CAURN,5/1/1987,5.6,5.92,5.990909091,6.019607843,-0.390909091,5,-0.334471243,-0.056437848,,,
CAURN,6/1/1987,5.6,5.7,5.927272727,5.982352941,-0.327272727,6,0.094727273,-0.422,,,
CAURN,7/1/1987,5.9,5.6,5.745454545,5.935294118,0.154545455,7,0.408436364,-0.253890909,,,
CAURN,8/1/1987,5.5,5.56,5.654545455,5.880392157,-0.154545455,8,0.079962894,-0.234508349,,,
CAURN,9/1/1987,5.4,5.52,5.581818182,5.843137255,-0.181818182,9,-0.251205937,0.069387755,,,
CAURN,10/1/1987,5.4,5.34,5.554545455,5.803921569,-0.154545455,10,-0.332096475,0.17755102,,,
CAURN,11/1/1987,5.4,5.42,5.509090909,5.782352941,-0.109090909,11,-0.246382189,0.13729128,,,
CAURN,12/1/1987,5,5.5,5.463636364,5.760784314,-0.463636364,12,-0.318923933,-0.14471243,,,
CAURN,1/1/1988,5.9,5.54,5.4,5.739215686,0.5,1,0.491651206,0.008348794,,,
CAURN,2/1/1988,5.8,5.48,5.409090909,5.705882353,0.390909091,2,0.315955473,0.074953618,,,
CAURN,3/1/1988,5.6,5.5,5.4,5.658823529,0.2,3,0.179962894,0.020037106,,,
CAURN,4/1/1988,5.1,5.36,5.363636364,5.619607843,-0.263636364,4,-0.09109462,-0.172541744,,,
CAURN,5/1/1988,5.1,5.32,5.318181818,5.601960784,-0.218181818,5,-0.334471243,0.116289425,,,
CAURN,6/1/1988,5.2,5.26,5.327272727,5.588235294,-0.127272727,6,0.094727273,-0.222,,,
CAURN,7/1/1988,5.6,5.24,5.227272727,5.570588235,0.372727273,7,0.408436364,-0.035709091,,,
CAURN,8/1/1988,5.3,5.2,5.218181818,5.547058824,0.081818182,8,0.079962894,0.001855288,,,
CAURN,9/1/1988,5,5.18,5.2,5.547058824,-0.2,9,-0.251205937,0.051205937,,,
CAURN,10/1/1988,4.9,5.02,5.2,5.549019608,-0.3,10,-0.332096475,0.032096475,,,
CAURN,11/1/1988,5.1,5.1,5.190909091,5.57254902,-0.090909091,11,-0.246382189,0.155473098,,,
CAURN,12/1/1988,4.8,5.18,5.154545455,5.601960784,-0.354545455,12,-0.318923933,-0.035621521,,,
CAURN,1/1/1989,5.7,5.22,5.118181818,5.639215686,0.581818182,1,0.491651206,0.090166976,,,
CAURN,2/1/1989,5.4,5.2,5.127272727,5.649019608,0.272727273,2,0.315955473,-0.0432282,,,
CAURN,3/1/1989,5.1,5.2,5.118181818,5.662745098,-0.018181818,3,0.179962894,-0.198144712,,,
CAURN,4/1/1989,5,5.1,5.118181818,5.688235294,-0.118181818,4,-0.09109462,-0.027087199,,,
CAURN,5/1/1989,4.8,5.1,5.090909091,5.731372549,-0.290909091,5,-0.334471243,0.043562152,,,
CAURN,6/1/1989,5.2,5.06,5.118181818,5.77254902,0.081818182,6,0.094727273,-0.012909091,,,
CAURN,7/1/1989,5.4,5.04,5.045454545,5.81372549,0.354545455,7,0.408436364,-0.053890909,,,
CAURN,8/1/1989,4.9,5.04,5.072727273,5.849019608,-0.172727273,8,0.079962894,-0.252690167,,,
CAURN,9/1/1989,4.9,5.02,5.118181818,5.896078431,-0.218181818,9,-0.251205937,0.033024119,,,
CAURN,10/1/1989,4.8,4.92,5.154545455,5.949019608,-0.354545455,10,-0.332096475,-0.02244898,,,
CAURN,11/1/1989,5.1,5.08,5.209090909,6.025490196,-0.109090909,11,-0.246382189,0.13729128,,,
CAURN,12/1/1989,4.9,5.22,5.209090909,6.105882353,-0.309090909,12,-0.318923933,0.009833024,,,
CAURN,1/1/1990,5.7,5.34,5.2,6.190196078,0.5,1,0.491651206,0.008348794,,,
CAURN,2/1/1990,5.6,5.4,5.290909091,6.245098039,0.309090909,2,0.315955473,-0.006864564,,,
CAURN,3/1/1990,5.4,5.46,5.372727273,6.303921569,0.027272727,3,0.179962894,-0.152690167,,,
CAURN,4/1/1990,5.4,5.38,5.472727273,6.382352941,-0.072727273,4,-0.09109462,0.018367347,,,
CAURN,5/1/1990,5.2,5.44,5.545454545,6.474509804,-0.345454545,5,-0.334471243,-0.010983302,,,
CAURN,6/1/1990,5.3,5.52,5.690909091,6.560784314,-0.390909091,6,0.094727273,-0.485636364,,,
CAURN,7/1/1990,5.9,5.62,5.772727273,6.645098039,0.127272727,7,0.408436364,-0.281163636,,,
CAURN,8/1/1990,5.8,5.76,5.954545455,6.717647059,-0.154545455,8,0.079962894,-0.234508349,,,
CAURN,9/1/1990,5.9,6,6.190909091,6.803921569,-0.290909091,9,-0.251205937,-0.039703154,,,
CAURN,10/1/1990,5.9,6.14,6.427272727,6.892156863,-0.527272727,10,-0.332096475,-0.195176252,,,
CAURN,11/1/1990,6.5,6.5,6.636363636,7,-0.136363636,11,-0.246382189,0.110018553,,,
CAURN,12/1/1990,6.6,6.92,6.845454545,7.103921569,-0.245454545,12,-0.318923933,0.073469388,,,
CAURN,1/1/1991,7.6,7.34,7.027272727,7.205882353,0.572727273,1,0.491651206,0.081076067,,,
CAURN,2/1/1991,8,7.54,7.236363636,7.280392157,0.763636364,2,0.315955473,0.447680891,,,
CAURN,3/1/1991,8,7.74,7.4,7.354901961,0.6,3,0.179962894,0.420037106,,,
CAURN,4/1/1991,7.5,7.8,7.563636364,7.445098039,-0.063636364,4,-0.09109462,0.027458256,,,
CAURN,5/1/1991,7.6,7.82,7.672727273,7.539215686,-0.072727273,5,-0.334471243,0.26174397,,,
CAURN,6/1/1991,7.9,7.76,7.790909091,7.62745098,0.109090909,6,0.094727273,0.014363636,,,
CAURN,7/1/1991,8.1,7.8,7.836363636,7.703921569,0.263636364,7,0.408436364,-0.1448,,,
CAURN,8/1/1991,7.7,7.82,7.954545455,7.778431373,-0.254545455,8,0.079962894,-0.334508349,,,
CAURN,9/1/1991,7.7,7.82,8.090909091,7.858823529,-0.390909091,9,-0.251205937,-0.139703154,,,
CAURN,10/1/1991,7.7,7.82,8.254545455,7.933333333,-0.554545455,10,-0.332096475,-0.22244898,,,
CAURN,11/1/1991,7.9,8.14,8.354545455,8.035294118,-0.454545455,11,-0.246382189,-0.208163265,,,
CAURN,12/1/1991,8.1,8.5,8.436363636,8.12745098,-0.336363636,12,-0.318923933,-0.017439703,,,
CAURN,1/1/1992,9.3,8.82,8.572727273,8.217647059,0.727272727,1,0.491651206,0.235621521,,,
CAURN,2/1/1992,9.5,8.98,8.763636364,8.280392157,0.736363636,2,0.315955473,0.420408163,,,
CAURN,3/1/1992,9.3,9.12,8.927272727,8.333333333,0.372727273,3,0.179962894,0.192764378,,,
CAURN,4/1/1992,8.7,9.18,9.090909091,8.398039216,-0.390909091,4,-0.09109462,-0.299814471,,,
CAURN,5/1/1992,8.8,9.24,9.218181818,8.468627451,-0.418181818,5,-0.334471243,-0.083710575,,,
CAURN,6/1/1992,9.6,9.28,9.363636364,8.535294118,0.236363636,6,0.094727273,0.141636364,,,
CAURN,7/1/1992,9.8,9.44,9.381818182,8.590196078,0.418181818,7,0.408436364,0.009745455,,,
CAURN,8/1/1992,9.5,9.54,9.463636364,8.629411765,0.036363636,8,0.079962894,-0.043599258,,,
